CD_DIST,NM_DIST,M >= 60 ANOS,F >= 60 ANOS,OBITOS TOTAIS (M+F),PCT_DOMICILIOS_COM_OBITO,2019 (M+F >= 60 anos),2020 (M+F >= 60 anos),2021 (M+F >= 60 anos),2022 (M+F >= 60 anos),AREA_KM2,POP_TOTAL,DENSIDADE_DEMOGRAFICA,PCT_IDOSOS,OBITOS_PER_CAPITA,ANOMALY_SCORE,ANOMALIA
230440005,Fortaleza,10559.0,12781.0,44333.0,5.371011292253161,2181.0,3771.0,5325.0,2128.0,312.3527831,2428708.0,7775.528605494919,0.9610047811428956,0.0182537382015458,-0.367495386289144,1
330455705,Rio de Janeiro,36605.0,42437.0,138974.0,5.9387641033320975,8846.0,12672.0,18775.0,5489.0,1200.3295092,6211223.0,5174.598268553506,1.272567415467131,0.0223746595477251,-0.3639209102110972,1
130260305,Manaus,7757.0,7462.0,36492.0,5.970139812476378,1306.0,2636.0,4133.0,800.0,11401.0017014,2063689.0,181.0094458407621,0.7374657712475088,0.0176828969869006,-0.36079265772683855,1
261160605,Recife,7570.0,10467.0,32937.0,6.219638492158108,1912.0,3058.0,4320.0,1416.0,218.8429561,1488920.0,6803.60029188986,1.2114149853585148,0.022121403433361,-0.35946567587111433,1
520870705,Goiânia,6587.0,5705.0,24863.0,4.704147069842898,1044.0,1828.0,2937.0,921.0,637.6684478,1435651.0,2251.406675291987,0.8561969448006514,0.0173182758205162,-0.3563543099074409,1
310620005,Belo Horizonte,6669.0,7585.0,24848.0,4.89634424286626,1343.0,1661.0,2953.0,1115.0,185.3071049,1380747.0,7451.128227086127,1.0323397407345445,0.0179960557582236,-0.35598553083783846,1
292740805,Salvador,8554.0,11270.0,43903.0,4.798034735631346,2128.0,2650.0,3971.0,1448.0,693.4420551,2417678.0,3486.4888597668787,0.8199603090237824,0.0181591593256008,-0.35561691807130835,1
530010805,Brasília,7844.0,7633.0,37007.0,4.080966735630698,1103.0,1827.0,3153.0,911.0,5760.782505,2817381.0,489.0622059684928,0.5493399721230462,0.0131352486582396,-0.355248471532855,1
410690205,Curitiba,8296.0,8007.0,30668.0,4.697517702109699,1412.0,2080.0,4075.0,1318.0,434.8920969,1773718.0,4078.524334296773,0.9191427273106548,0.017290234411558,-0.3519399205927336,1
240810205,Natal,4103.0,4707.0,15821.0,5.941864409279278,1166.0,1430.0,2026.0,749.0,167.4013241,751300.0,4488.017069394256,1.1726341008917875,0.0210581658458671,-0.35178121786799266,1
431490205,Porto Alegre,7538.0,8677.0,27362.0,5.141354630669022,1638.0,2053.0,3720.0,1461.0,495.3901657,1332845.0,2690.495476664647,1.2165705689708857,0.0205290187531183,-0.35175329519777887,1
150140275,Sacramenta,1661.0,1830.0,5929.0,8.123279684343263,451.0,779.0,805.0,286.0,15.2071217,230846.0,15180.124454452152,1.5122635869800647,0.0256837891927952,-0.3494301262819004,1
150140255,Guamá,1892.0,2060.0,6946.0,7.846138377146432,526.0,985.0,783.0,277.0,14.8672264,283619.0,19076.792965229884,1.3934186355639078,0.0244906018285093,-0.3489886559830895,1
211130005,São Luís,4012.0,4110.0,17216.0,5.171866192447787,907.0,1468.0,1686.0,573.0,583.0630248,1037775.0,1779.8676229829075,0.7826359278263593,0.0165893377658933,-0.3434146553487437,1
353440105,Osasco,3355.0,3228.0,13520.0,5.452584317626567,644.0,756.0,1405.0,582.0,64.9540636,728615.0,11217.389022601505,0.903494987064499,0.0185557530382986,-0.3432363398450189,1
270430205,Maceió,3801.0,4432.0,17264.0,5.3358767738714965,914.0,1154.0,1901.0,812.0,509.3203217,957916.0,1880.7731778749485,0.8594699326454511,0.0180224570839196,-0.3419638616557876,1
250750705,João Pessoa,3196.0,3829.0,14220.0,5.140750218869957,700.0,1014.0,1393.0,499.0,210.0444714,833932.0,3970.2639847725127,0.8423948235587554,0.0170517500227836,-0.3406997294950992,1
354780905,Santo André,3380.0,3112.0,11909.0,5.247116798144813,585.0,908.0,1398.0,471.0,80.3750291,641764.0,7984.619193126985,1.0115868138443416,0.0185566656901914,-0.34033800994983465,1
260960005,Olinda,2060.0,2704.0,8354.0,6.732175967579154,595.0,816.0,1215.0,449.0,41.3001333,349976.0,8473.967806781873,1.3612361990536497,0.0238702082428509,-0.3386830673584723,1
330330205,Niterói,3173.0,3501.0,10782.0,5.857079057734065,648.0,1020.0,1597.0,521.0,133.7571544,481749.0,3601.669025937352,1.3853687293590646,0.022380949415567,-0.33724080284272373,1
221100105,Teresina,3574.0,3876.0,15502.0,5.800139015131262,856.0,1182.0,1657.0,650.0,1391.292688,866300.0,622.6583431882451,0.8599792219785294,0.0178944938243102,-0.3369066475604624,1
500270405,Campo Grande,4106.0,3976.0,16533.0,5.3156258865029535,629.0,1050.0,1975.0,710.0,2959.3582605,892312.0,301.5221279255452,0.905737006786864,0.0185282726221321,-0.3356504729968478,1
350950205,Campinas,3995.0,3949.0,13852.0,4.939976169693027,710.0,1123.0,1787.0,639.0,433.782619,774307.0,1785.0115843392057,1.0259496556275485,0.0178895451029113,-0.33546758522531017,1
150140205,Belém,1289.0,1388.0,3646.0,7.357605985037406,302.0,620.0,745.0,262.0,14.0045775,140032.0,9999.016393032922,1.9117058957952464,0.0260369058500914,-0.33421367504639654,1
310620060,Venda Nova,2761.0,2807.0,11468.0,5.057872534962492,622.0,626.0,1198.0,421.0,92.3637918,655957.0,7101.884701966079,0.8488361279779011,0.0174828532967862,-0.3324213192162684,1
