CD_DIST,NM_DIST,M >= 70 ANOS,F >= 70 ANOS,AREA_KM2,POP_TOTAL
110150005,Seringueiras,26,0,"3773,5047171",11171
110155905,Teixeirópolis,21,0,"459,9349750",4256
110160905,Theobroma,26,0,"2197,4127164",8113
110170805,Urupá,40,0,"831,8565258",10725
110175705,Vale do Anari,22,0,"3135,1055592",7788
110180705,Vale do Paraíso,29,0,"965,6760389",6479
120001305,Acrelândia,31,0,"1811,6211974",14021
120005405,Assis Brasil,15,0,"4977,8146767",8100
120010405,Brasiléia,35,0,"3928,8201969",26000
120013805,Bujari,22,0,"3035,5465316",12917
120017905,Capixaba,20,0,"1705,2362394",10392
120020305,Cruzeiro do Sul,185,0,"8782,9221495",91888
120025205,Epitaciolândia,33,0,"1652,7145404",18757
120030205,Feijó,51,0,"27977,1202002",35426
120032805,Jordão,0,0,"5356,9805121",9222
120033605,Mâncio Lima,25,0,"5451,6174617",19294
120034405,Manoel Urbano,23,0,"10630,2248518",11996
120035105,Marechal Thaumaturgo,19,0,"8190,9668263",17093
120038505,Plácido de Castro,48,0,"1949,7231635",14333
120038510,Campinas,3,0,"2,8082363",2227
120039305,Porto Walter,0,0,"6446,1017078",10735
120040105,Rio Branco,916,0,"8834,8306355",364756
120042705,Rodrigues Alves,7,0,"3077,1586799",14938
120043505,Santa Rosa do Purus,0,0,"6155,6593025",6723
120045005,Senador Guiomard,63,0,"2320,9458289",21454
120050005,Sena Madureira,76,0,"23760,4102749",41343
120060905,Tarauacá,69,0,"20169,4846963",43467
120070805,Xapuri,40,0,"5350,2999540",18243
120080705,Porto Acre,20,0,"2597,2466967",9265
120080720,Vila do Caquetá,0,0,"2,5067101",1817
120080723,Vila do Incra,12,0,"2,2607247",3584
120080725,Vila do V,10,0,"1,9278844",2027
130002905,Alvarães,31,0,"5922,8838812",15866
130006005,Amaturá,22,0,"4754,1093814",10819
130008605,Anamã,24,0,"2446,1205412",9962
130010205,Anori,43,0,"6036,0187462",17194
130014405,Apuí,15,0,"29222,1565400",18352
130014410,Sucunduri,3,0,"25018,3878781",2295
130020105,Atalaia do Norte,13,0,"76507,6168037",15314
130030005,Autazes,49,0,"6416,3493989",32854
130030010,Murutinga,25,0,"1236,5022151",8710
130040905,Barcelos,48,3,"122462,6530020",18834
130050805,Barreirinha,33,0,"706,4973126",12352
130050810,Ariaú,6,0,"2873,4356167",5238
130050812,Cametá,7,0,"596,3561463",3020
130050815,Freguesia do Andirá,13,0,"715,4382505",5336
130050820,Pedras,19,0,"860,0372679",5105
130060705,Benjamin Constant,107,0,"8705,2650518",37648
130063105,Beruri,33,0,"17472,7794597",20718
130068005,Boa Vista do Ramos,19,0,"763,9940291",15859
130068010,Lago Preto,3,0,"666,1436636",3381
130068015,Massauari,0,0,"914,5738456",2705
130068020,Do Rio Urubu,0,0,"244,6955701",1840
130070605,Boca do Acre,82,0,"16360,7438842",30308
130070610,Floriano Peixoto,0,0,"5577,8391885",5139
130080505,Borba,59,0,"15982,0736570",24355
130080520,Canumã,0,0,"27637,4551505",7071
130080525,Axinin,10,0,"616,6548799",1654
130083905,Caapiranga,35,0,"9455,5394439",13469
130090405,Canutama,21,0,"7102,6699799",9614
130090410,Belo Monte,0,0,"14241,6945126",1723
130090415,Açuanópolis,0,0,"12298,3670689",5532
130100105,Carauari,65,0,"25778,6577227",28742
130110005,Careiro,43,0,"4602,2946661",18684
130110010,Purupuru,22,0,"940,8928914",6525
130110015,Janauacá,17,0,"553,0242912",5583
130115905,Careiro da Várzea,49,0,"2627,4744976",19637
130120905,Coari,211,0,"57970,7844982",70616
130130805,Codajás,92,0,"4355,3954499",21684
130130810,Badajós,0,0,"14345,6781153",1865
130140705,Eirunepé,76,0,"14966,2414950",33170
130150605,Envira,18,0,"7505,7937305",17186
130160505,Fonte Boa,71,0,"12156,0335894",25871
130165405,Guajará,20,0,"7583,5341151",13815
130170405,Humaitá,129,0,"30835,4873990",53126
130170410,Realidade,0,0,"2275,6414281",4347
130180305,Ipixuna,19,0,"12109,7789981",24311
130185205,Iranduba,91,0,"1829,5515320",36769
130185210,Ariaú,3,0,"83,8387727",2719
130185215,Cacau Pirêra,41,0,"127,2480084",16506
130185220,Lago do Limão,9,0,"83,9530900",2475
130185225,Paricatuba,10,0,"92,2256121",2694
130190205,Itacoatiara,334,0,"5910,3333959",81599
130190210,Amatari,44,0,"2981,6453010",21999
130195105,Itamarati,17,0,"25260,4294781",10937
130200905,Itapiranga,26,0,"4335,0745413",10162
130210805,Japurá,10,0,"25618,8612287",7828
130210810,Vila Bitencourt,0,0,"30208,3410458",1030
130220705,Juruá,21,0,"19438,8046735",10742
130230605,Jutaí,39,0,"69459,5008442",25172
130240505,Lábrea,80,0,"68262,6800857",45448
130250405,Manacapuru,322,9,"7336,5783542",101883
130255305,Manaquiri,43,0,"3973,2576518",17107
130260305,Manaus,5632,12,"11401,0017014",2063689
130270205,Manicoré,98,0,"43023,4084002",44838
130270210,Santo Antônio do Matupi,0,0,"5291,6293157",9076
130280105,Maraã,22,0,"16830,8261077",15529
130290005,Maués,170,0,"2930,5356090",42769
130290010,Osório da Fonseca,4,0,"20225,2630566",9124
130290015,Repartimento,9,0,"16835,2682696",9311
130300705,Nhamundá,52,0,"14107,5017241",20136
130310605,Nova Olinda do Norte,78,0,"5578,1320133",27062
130320505,Novo Airão,22,0,"37776,6644922",15761
130330405,Novo Aripuanã,66,0,"41179,6558658",23818
130340305,Parintins,342,0,"2676,3143336",75192
130340310,Mocambo,12,0,"350,2929324",3030
130340315,Caburi,3,0,"518,8749455",3228
130340320,Vila Amazônia,16,0,"436,6350900",8359
130340325,Tracajá,7,0,"550,8021487",2857
130340330,Uaicurapá,3,0,"1423,1281223",3706
130350205,Pauini,27,0,"41624,6641367",19373
130353605,Presidente Figueiredo,27,0,"11352,4345963",26598
130353610,Balbina,4,0,"14106,6645524",4070
130356905,Rio Preto da Eva,49,0,"5815,6218018",24936
130360105,Santa Isabel do Rio Negro,58,0,"62798,8450739",14164
130370005,Santo Antônio do Içá,32,0,"8570,7631126",24096
130370015,Alterosa,13,0,"3795,4516652",4115
130380905,São Gabriel da Cachoeira,140,0,"76599,4440480",44269
130380912,Cucui,3,0,"12220,9048434",3873
130380915,Içana,0,0,"9253,9889432",1145
130380920,São Felipe,0,0,"11118,2554544",2508
130390805,São Paulo de Olivença,44,0,"17286,5440947",18866
130390815,Santa Rita,6,0,"2371,9917890",14101
130395705,São Sebastião do Uatumã,21,0,"10489,2313256",9972
130395710,Santana,3,0,"158,2319209",1698
130400505,Silves,16,0,"3723,3822083",11559
130406205,Tabatinga,160,0,"3260,2451729",66764
130410405,Tapauá,30,0,"84946,0348044",19599
130420305,Tefé,201,0,"23692,6208525",73669
130423705,Tonantins,47,0,"6447,2267077",19247
130426005,Uarini,26,0,"10275,5586452",14431
130430205,Urucará,53,0,"27924,5661734",18631
130440105,Urucurituba,26,0,"453,4075278",15950
130440110,Augusto Montenegro,0,0,"1919,7106550",2676
130440115,Itapeaçú,6,0,"490,7712117",5319
